City,Duration,IncidentDate,PostedDate,Shape,State,Summary
Terre Haute,10 minutes,8/31/2016 11:40:00 PM,9/2/2016 12:00:00 AM,Light,IN,Four unidentified moving flashing lights that hovered in place for several minutes. Terre Haute, Indiana
Corte Madera,1 hour,8/31/2016 10:00:00 PM,9/15/2016 12:00:00 AM,Circle,CA,Stationary yellow gold lights seen during extended long sighting
Malo,5 minutes,8/31/2016 10:00:00 PM,9/9/2016 12:00:00 AM,Light,WA,Strange meandering craft pulls near 180 before streaking exit
Concord,10 minutes,8/31/2016 9:00:00 PM,9/9/2016 12:00:00 AM,Triangle,NC,We saw 3 triangle objects in the sky with Redish Orange Lights that hovered over the treeline and then disbursed into the sky.
Arlington,15 minutes,8/31/2016 9:00:00 PM,9/9/2016 12:00:00 AM,Light,WI,Fifteen minute sighting of unusual light formation north of Madison..
Pomona,15 seconds,8/31/2016 7:46:00 PM,9/2/2016 12:00:00 AM,Sphere,CA,At 7:20pm I was in my backyard watering my garden in the city of pomona, ca. At 7:35pm i finish watering the garden and just stood arou
Shoreview,10 minutes,8/31/2016 12:00:00 PM,9/2/2016 12:00:00 AM,Chevron,MN,While out walking I saw slow moving bright objects that seemed to form shapes. After 10 min. they changed direction and disappeared
Memphis,2 minutes,8/31/2016 1:38:00 AM,9/2/2016 12:00:00 AM,Light,TN,I stepped outside at about 1:38 and immediately noticed two stationary lights in the northeastern sky. I thought this very unusual, bec
Holden,~10 seconds,8/30/2016 11:57:00 PM,9/2/2016 12:00:00 AM,Egg,MA,White/yellow glowing egg shaped object flying low south to north Holden, MA.
Columbus,3-5 minutes,8/30/2016 11:56:00 PM,9/2/2016 12:00:00 AM,Triangle,OH,6 to 7 bright white lights on triangular craft - North Columbus
Anchorage,5 minutes,8/30/2016 11:08:00 PM,9/2/2016 12:00:00 AM,Sphere,AK,Red and blue color changing orb moving in all directions.
Spring,1 hour,8/30/2016 10:30:00 PM,9/2/2016 12:00:00 AM,Light,TX,4 white glows in the cloud cover circling like sparrows within a 1/4 mile.
Menifee,15 minutes,8/30/2016 9:50:00 PM,9/9/2016 12:00:00 AM,Other,CA,Once in a life time experience!!
Tempe,16 minutes,8/30/2016 9:45:00 PM,9/9/2016 12:00:00 AM,Light,AZ,My girlfriend and I saw two lights hovering over the Tempe area. We were looking south to southwest.
Tempe,5-10 minutes,8/30/2016 9:40:00 PM,9/2/2016 12:00:00 AM,Fireball,AZ,At around 9:40 pm went outside and saw two bright orange fireballs side by side heading towards south mountain. ((anonymous report))
Zeeland,12 seconds,8/30/2016 9:00:00 PM,9/2/2016 12:00:00 AM,Light,MI,Star like object moving up, down, all over, silently about 12 seconds just at dark on cloudy night in S.W.sky.
Ellington,1 minute,8/30/2016 8:45:00 PM,9/2/2016 12:00:00 AM,Oval,CT,Saw a stationary pattern, not moving and not making any noise for a minute until it slowly dimmed away.
Greeley,10 seconds,8/30/2016 8:30:00 PM,9/2/2016 12:00:00 AM,Sphere,CO,Floating bright orb flashes then disappeared completely.
Pittsburgh,3 minutes,8/30/2016 8:00:00 PM,9/2/2016 12:00:00 AM,Sphere,PA,Saw 3 red lights hovering in distance, about the height of typical aircraft. 3 red lights hovered in a triangular pattern, one by one,
Hyrum,5 minutes,8/30/2016 7:59:00 PM,9/2/2016 12:00:00 AM,Flash,UT,Bright flash that lasted around 3 sec. Then a smoke trail. Was traveling it a E dir. Smoke trail continued. ((NUFORC Note: Meteor?))
Fayetteville,Currently,8/30/2016 5:40:00 PM,9/2/2016 12:00:00 AM,Cylinder,NC,UFO seen hovering South East 4 to 6 miles from Simmons Air field near Fort Bragg. Roughly between 15000 to 20000 feet in altitude.
Dana Point,1 minute,8/30/2016 4:00:00 PM,9/2/2016 12:00:00 AM,Light,CA,Orange light travels across sky then disappears.
Utica,6 seconds,8/30/2016 11:30:00 AM,9/2/2016 12:00:00 AM,Circle,NY,I saw a dark silver circle shaped UFO for like 6 seconds flying very slow.
West Chicago,5 seconds,8/30/2016 11:00:00 AM,9/2/2016 12:00:00 AM,Cigar,IL,Craft just disappeared.
Ladson,10 minutes?,8/30/2016 9:50:00 AM,9/2/2016 12:00:00 AM,Disk,SC,Saucer seen on I-26 and Ladson Rd.
Boulder,,8/30/2016 7:40:00 AM,9/2/2016 12:00:00 AM,Light,CO,White dot over Boulder, CO.
Seabrook,30 minutes+,8/30/2016 3:00:00 AM,9/2/2016 12:00:00 AM,Triangle,SC,Multi-colored light seen to the west of Seabrook/Lobecco, SC.
New York,4 seconds,8/30/2016 2:45:00 AM,9/2/2016 12:00:00 AM,Circle,NY,Looking up to the sky thought it was a shooting star; realized it was a very intense white light circle in shape.((anonymous report))
Herriman,7 seconds,8/29/2016 11:39:00 PM,9/2/2016 12:00:00 AM,Triangle,UT,Black triangle with white lights in corners.
Newport News,10 minutes,8/29/2016 11:00:00 PM,9/2/2016 12:00:00 AM,Other,VA,1 slowly moving aircraft gliding through tree line. When in full sight it had lights rotating around in a circle one being red.
Pittsfielsd,3 minutes,8/29/2016 10:00:00 PM,9/2/2016 12:00:00 AM,Rectangle,MA,Glowing orange rectangular object, slow moving and making no sound.
Easton,>1 hour,8/29/2016 10:00:00 PM,9/2/2016 12:00:00 AM,Disk,MD,We saw a ufo hovering for >1 hour; it never went in any dir. and was not a star, as we saw flashing red light. ((anonymous report))
Carrollton,30+ minutes,8/29/2016 9:30:00 PM,9/2/2016 12:00:00 AM,Light,GA,Shooting star stopped and hovered and was caught on video.
Arlington,>5 minutes,8/29/2016 9:28:00 PM,9/2/2016 12:00:00 AM,Triangle,WA,3 or 4 lights in a perfect triangle arrangement, to the west of Arlington.
Virginia Beach,Brief,8/29/2016 9:00:00 PM,9/2/2016 12:00:00 AM,Circle,VA,2 Red lights flew over.
Jacksonville,1 minute,8/29/2016 8:45:00 PM,9/2/2016 12:00:00 AM,Sphere,FL,5 orange-yellow lights near I-295 E of Buckman Bridge, moving slowly vertically and horizontally.
Portland,5 minutes,8/29/2016 8:25:00 PM,9/2/2016 12:00:00 AM,Sphere,OR,These spheres are white like electic and appear about 8:25 pm for weeks now they stay stationary for up to 4 to 5 minutes than descend
St. Louis,~3 minutes,8/29/2016 8:00:00 PM,9/2/2016 12:00:00 AM,Light,MO,Around 8:00 pm I noticed a low, but bright (slightly orange) light near the horizon, yet above the tree line. Somehow it got my attenti
Pomona,10 minutes,8/29/2016 7:00:00 PM,9/2/2016 12:00:00 AM,Circle,NY,We saw 3 objects in the sky 2 moving horizontally and one falling at an angle vertically.
Columbus,2-4 minute,8/29/2016 11:55:00 AM,9/2/2016 12:00:00 AM,Triangle,OH,Black triangle craft with 8 - 10 yellowish-white lights on side/red underbelly lights/quietly hums past window.
Cody,0.5 hour,8/29/2016 9:30:00 AM,9/2/2016 12:00:00 AM,Other,WY,Two silver/white objects. Generally stationary but appeared to ascend occasionally.
Hermitage,2 hours,8/29/2016 4:00:00 AM,8/29/2016 12:00:00 AM,Unknown,TN,2 unidentified objects seen early morning in Davidson County, TN. ((NUFORC Not: Possible star?? PD))
New York City (Bronx),1 hour,8/29/2016 12:20:00 AM,8/29/2016 12:00:00 AM,Unknown,NY,Small flashing/blinking light in the sky moving in a circular/triangular form with red, white, and blue like lights.
New Castle,5 minutes,8/28/2016 11:00:00 PM,9/2/2016 12:00:00 AM,Light,CO,3 of us seen a white light heading Twards the mountain bobbing back and forth almost like it was confuse before it just disappeared.
Toronto (Canada),5 seconds,8/28/2016 10:00:00 PM,9/2/2016 12:00:00 AM,Cigar,ON,Imagine for a moment, as if the pattern of a tiger�s stripes was energetically oscillating at an extremely fast rate.
Newmarket (Canada),6 seconds,8/28/2016 10:00:00 PM,9/9/2016 12:00:00 AM,Oval,ON,It appeared as a quickly pulsating, oscillation with long, oval arch to each side, moving at the speed of a meteorite, but wasn't.
Juneau,25 seconds,8/28/2016 9:40:00 PM,8/29/2016 12:00:00 AM,Formation,AK,3 lights; blue green; straight line; moved vertically.
Runnemede,1 minute,8/28/2016 9:35:00 PM,8/29/2016 12:00:00 AM,,NJ,Bright white light went back n forth in sky with 2 fighter jets flying next to each other following after it!
Williamsburg,20 minutes,8/28/2016 8:45:00 PM,8/29/2016 12:00:00 AM,Unknown,VA,Red, blue, and white silent hovering object over treeline.
Wakefield,3 minutes,8/28/2016 8:00:00 PM,9/2/2016 12:00:00 AM,Sphere,NH,4 yellow/orange spheres moving slowly in sky. Three in a row in front. The other was a distance behind the middle one. No Sound.
