IncidentDate,City,State,Shape,Duration,Summary,PostedDate
8/31/2016 23:40,Terre Haute,IN,Light,10 minutes,"Four unidentified moving flashing lights that hovered in place for several minutes. Terre Haute, Indiana",9/2/2016
8/31/2016 22:00,Corte Madera,CA,Circle,1 hour,Stationary yellow gold lights seen during extended long sighting,9/15/2016
8/31/2016 22:00,Malo,WA,Light,5 minutes,Strange meandering craft pulls near 180 before streaking exit,9/9/2016
8/31/2016 21:00,Concord,NC,Triangle,10 minutes,We saw 3 triangle objects in the sky with Redish Orange Lights that hovered over the treeline and then disbursed into the sky.,9/9/2016
8/31/2016 21:00,Arlington,WI,Light,15 minutes,Fifteen minute sighting of unusual light formation north of Madison..,9/9/2016
8/31/2016 19:46,Pomona,CA,Sphere,15 seconds,"At 7:20pm I was in my backyard watering my garden in the city of pomona, ca. At 7:35pm i finish watering the garden and just stood arou",9/2/2016
8/31/2016 12:00,Shoreview,MN,Chevron,10 minutes,While out walking I saw slow moving bright objects that seemed to form shapes. After 10 min. they changed direction and disappeared,9/2/2016
8/31/2016 1:38,Memphis,TN,Light,2 minutes,"I stepped outside at about 1:38 and immediately noticed two stationary lights in the northeastern sky. I thought this very unusual, bec",9/2/2016
8/30/2016 23:57,Holden,MA,Egg,~10 seconds,"White/yellow glowing egg shaped object flying low south to north Holden, MA.",9/2/2016
8/30/2016 23:56,Columbus,OH,Triangle,3-5 minutes,6 to 7 bright white lights on triangular craft - North Columbus,9/2/2016
8/30/2016 23:08,Anchorage,AK,Sphere,5 minutes,Red and blue color changing orb moving in all directions.,9/2/2016
8/30/2016 22:30,Spring,TX,Light,1 hour,4 white glows in the cloud cover circling like sparrows within a 1/4 mile.,9/2/2016
8/30/2016 21:50,Menifee,CA,Other,15 minutes,Once in a life time experience!!,9/9/2016
8/30/2016 21:45,Tempe,AZ,Light,16 minutes,My girlfriend and I saw two lights hovering over the Tempe area. We were looking south to southwest.,9/9/2016
8/30/2016 21:40,Tempe,AZ,Fireball,5-10 minutes,At around 9:40 pm went outside and saw two bright orange fireballs side by side heading towards south mountain. ((anonymous report)),9/2/2016
8/30/2016 21:00,Zeeland,MI,Light,12 seconds,"Star like object moving up, down, all over, silently about 12 seconds just at dark on cloudy night in S.W.sky.",9/2/2016
8/30/2016 20:45,Ellington,CT,Oval,1 minute,"Saw a stationary pattern, not moving and not making any noise for a minute until it slowly dimmed away.",9/2/2016
8/30/2016 20:30,Greeley,CO,Sphere,10 seconds,Floating bright orb flashes then disappeared completely.,9/2/2016
8/30/2016 20:00,Pittsburgh,PA,Sphere,3 minutes,"Saw 3 red lights hovering in distance, about the height of typical aircraft. 3 red lights hovered in a triangular pattern, one by one,",9/2/2016
8/30/2016 19:59,Hyrum,UT,Flash,5 minutes,Bright flash that lasted around 3 sec. Then a smoke trail. Was traveling it a E dir. Smoke trail continued. ((NUFORC Note: Meteor?)),9/2/2016
8/30/2016 17:40,Fayetteville,NC,Cylinder,Currently,UFO seen hovering South East 4 to 6 miles from Simmons Air field near Fort Bragg. Roughly between 15000 to 20000 feet in altitude.,9/2/2016
8/30/2016 16:00,Dana Point,CA,Light,1 minute,Orange light travels across sky then disappears.,9/2/2016
8/30/2016 11:30,Utica,NY,Circle,6 seconds,I saw a dark silver circle shaped UFO for like 6 seconds flying very slow.,9/2/2016
8/30/2016 11:00,West Chicago,IL,Cigar,5 seconds,Craft just disappeared.,9/2/2016
8/30/2016 9:50,Ladson,SC,Disk,10 minutes?,Saucer seen on I-26 and Ladson Rd.,9/2/2016
